ventaid,usuarioid,nventa,subtotal,enviotitulo,estado,direccionid,transaccion,cupon,nota,envioprecio,fecha
16,14,NVENTA-1732860240663,19.99,Envío gratis,Procesando,24,07U133298Y183100M,,,0,2024-11-29 01:04:00
17,14,NVENTA-1732926628968,149.77999999999997,Envío estandar,Procesando,24,7KA5219955633105B,,,16,2024-11-29 19:30:29
20,14,NVENTA-1732934386996,104.99,Envío express,Procesando,24,9T73829379980435C,,,25,2024-11-29 21:39:47
21,18,NVENTA-1733081981490,1423.98,Envío express,Procesando,27,6V161083D87395900,,,25,2024-12-01 14:39:41
22,14,NVENTA-1733086378422,335.96,Envío estandar,Procesando,24,7WH56441WY178552D,,,16,2024-12-01 15:52:58
23,19,NVENTA-1733113536799,35.989999999999995,Envío estandar,Procesando,29,6C194925TE896552L,,,16,2024-12-01 23:25:36
